symboling,normalized_losses,make,num_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_L_100km,highway_L_100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,8.703703704,13495,Low,FALSE,TRUE,TRUE,FALSE
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,8.703703704,16500,Low,FALSE,TRUE,TRUE,FALSE
1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,0.876254181,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,12.36842105,9.038461538,16500,Medium,FALSE,TRUE,TRUE,FALSE
2,164,audi,four,sedan,fwd,front,99.8,0.848630466,0.919444444,0.908026756,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,9.791666667,7.833333333,13950,Low,FALSE,TRUE,TRUE,FALSE
2,164,audi,four,sedan,4wd,front,99.4,0.848630466,0.922222222,0.908026756,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,13.05555556,10.68181818,17450,Low,FALSE,TRUE,TRUE,FALSE
2,122,audi,two,sedan,fwd,front,99.8,0.851994234,0.920833333,0.887959866,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,15250,Low,FALSE,TRUE,TRUE,FALSE
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,17710,Low,FALSE,TRUE,TRUE,FALSE
1,122,audi,four,wagon,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,18920,Low,FALSE,TRUE,TRUE,FALSE
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.934782609,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.82352941,11.75,23875,Medium,FALSE,TRUE,FALSE,TRUE
2,192,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,8.103448276,16430,Low,FALSE,TRUE,TRUE,FALSE
0,192,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,8.103448276,16925,Low,FALSE,TRUE,TRUE,FALSE
0,188,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,8.392857143,20970,Medium,FALSE,TRUE,TRUE,FALSE
0,188,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,8.392857143,21105,Medium,FALSE,TRUE,TRUE,FALSE
1,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.75,9.4,24565,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,10.68181818,30760,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,two,sedan,rwd,front,103.5,0.931283037,0.943055556,0.897993311,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,10.68181818,41315,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,four,sedan,rwd,front,110,0.946660259,0.984722222,0.941471572,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15.66666667,11.75,36880,Medium,FALSE,TRUE,TRUE,FALSE
2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678039404,0.8375,0.889632107,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5,4.433962264,5151,Low,FALSE,TRUE,TRUE,FALSE
1,98,chevrolet,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,0.869565217,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,5.465116279,6295,Low,FALSE,TRUE,TRUE,FALSE
0,81,chevrolet,four,sedan,fwd,front,94.5,0.763094666,0.883333333,0.869565217,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,5.465116279,6575,Low,FALSE,TRUE,TRUE,FALSE
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351,5.731707317,5572,Low,FALSE,TRUE,TRUE,FALSE
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,6377,Low,FALSE,TRUE,TRUE,FALSE
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666667,7.833333333,7957,Low,FALSE,TRUE,FALSE,TRUE
1,148,dodge,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,6229,Low,FALSE,TRUE,TRUE,FALSE
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,6692,Low,FALSE,TRUE,TRUE,FALSE
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,7609,Low,FALSE,TRUE,TRUE,FALSE
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666667,7.833333333,8558,Low,FALSE,TRUE,FALSE,TRUE
-1,110,dodge,four,wagon,fwd,front,103.3,0.839019702,0.897222222,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.791666667,7.833333333,8921,Low,FALSE,TRUE,TRUE,FALSE
3,145,dodge,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,12.36842105,9.791666667,12964,Medium,FALSE,TRUE,FALSE,TRUE
2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.795918367,4.351851852,6479,Low,FALSE,TRUE,TRUE,FALSE
2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.580645161,6.184210526,6855,Low,FALSE,TRUE,TRUE,FALSE
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.184210526,5.595238095,5399,Low,FALSE,TRUE,TRUE,FALSE
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,6.911764706,6529,Low,FALSE,TRUE,TRUE,FALSE
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,6.911764706,7129,Low,FALSE,TRUE,TRUE,FALSE
0,110,honda,four,sedan,fwd,front,96.5,0.785199423,0.888888889,0.911371237,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,6.911764706,7295,Low,FALSE,TRUE,TRUE,FALSE
0,78,honda,four,wagon,fwd,front,96.5,0.754925517,0.8875,0.974916388,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.833333333,6.911764706,7295,Low,FALSE,TRUE,TRUE,FALSE
0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,7.121212121,7895,Low,FALSE,TRUE,TRUE,FALSE
0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,7.121212121,9095,Low,FALSE,TRUE,TRUE,FALSE
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,7.121212121,8845,Low,FALSE,TRUE,TRUE,FALSE
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.868055556,0.904682274,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,7.121212121,10295,Low,FALSE,TRUE,TRUE,FALSE
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,9.791666667,8.392857143,12945,Low,FALSE,TRUE,TRUE,FALSE
1,107,honda,two,sedan,fwd,front,96.5,0.812590101,0.916666667,0.852842809,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,7.580645161,10345,Low,FALSE,TRUE,TRUE,FALSE
0,122,isuzu,four,sedan,rwd,front,94.3,0.820278712,0.858333333,0.894648829,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.791666667,8.103448276,6785,Low,FALSE,TRUE,TRUE,FALSE
2,122,isuzu,two,hatchback,rwd,front,96,0.829408938,0.905555556,0.859531773,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.791666667,8.103448276,11048,Low,FALSE,TRUE,TRUE,FALSE
0,145,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.66666667,12.36842105,32250,Medium,FALSE,TRUE,TRUE,FALSE
0,122,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.66666667,12.36842105,35550,Medium,FALSE,TRUE,TRUE,FALSE
0,122,jaguar,two,sedan,rwd,front,102,0.921191735,0.980555556,0.799331104,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.07692308,13.82352941,36000,High,FALSE,TRUE,TRUE,FALSE
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.833333333,7.580645161,5195,Low,FALSE,TRUE,TRUE,FALSE
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,6.184210526,6095,Low,FALSE,TRUE,TRUE,FALSE
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,6.184210526,6795,Low,FALSE,TRUE,TRUE,FALSE
1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,6.184210526,6695,Low,FALSE,TRUE,TRUE,FALSE
1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,7.580645161,6.184210526,7395,Low,FALSE,TRUE,TRUE,FALSE
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,13.82352941,10.2173913,10945,Low,FALSE,TRUE,TRUE,FALSE
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,13.82352941,10.2173913,11845,Low,FALSE,TRUE,TRUE,FALSE
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2385,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,13.82352941,10.2173913,13645,Low,FALSE,TRUE,TRUE,FALSE
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2500,rotor,two,80,mpfi,3.33,3.26,9.4,135,6000,14.6875,10.2173913,15645,Medium,FALSE,TRUE,TRUE,FALSE
1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,7.34375,8845,Low,FALSE,TRUE,TRUE,FALSE
0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,7.34375,8495,Low,FALSE,TRUE,TRUE,FALSE
1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,7.34375,10595,Low,FALSE,TRUE,TRUE,FALSE
0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,7.34375,10245,Low,FALSE,TRUE,TRUE,FALSE
0,122,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,6.527777778,5.595238095,10795,Low,TRUE,FALSE,TRUE,FALSE
0,115,mazda,four,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,7.34375,11245,Low,FALSE,TRUE,TRUE,FALSE
0,118,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,12.36842105,8.703703704,18280,Medium,FALSE,TRUE,TRUE,FALSE
0,122,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,7.580645161,6.025641026,18344,Low,TRUE,FALSE,TRUE,FALSE
-1,93,mercedes-benz,four,sedan,rwd,front,110,0.917347429,0.976388889,0.944816054,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,9.4,25552,Medium,TRUE,FALSE,FALSE,TRUE
-1,93,mercedes-benz,four,wagon,rwd,front,110,0.917347429,0.976388889,0.981605351,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,9.4,28248,Medium,TRUE,FALSE,FALSE,TRUE
0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.90100913,0.976388889,0.918060201,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,9.4,28176,Medium,TRUE,FALSE,FALSE,TRUE
-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.941471572,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,9.4,31600,Medium,TRUE,FALSE,FALSE,TRUE
-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.944816054,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,13.05555556,34184,Medium,FALSE,TRUE,TRUE,FALSE
3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.86641038,0.979166667,0.849498328,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,13.05555556,35056,Medium,FALSE,TRUE,TRUE,FALSE
0,122,mercedes-benz,four,sedan,rwd,front,120.9,1,0.995833333,0.948160535,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,16.78571429,14.6875,40960,Medium,FALSE,TRUE,TRUE,FALSE
1,122,mercedes-benz,two,hardtop,rwd,front,112,0.9572321,1,0.926421405,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,16.78571429,14.6875,45400,Medium,FALSE,TRUE,TRUE,FALSE
1,122,mercury,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,0.91638796,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,12.36842105,9.791666667,16503,Medium,FALSE,TRUE,FALSE,TRUE
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.351351351,5.731707317,5389,Low,FALSE,TRUE,TRUE,FALSE
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,6189,Low,FALSE,TRUE,TRUE,FALSE
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,6.184210526,6669,Low,FALSE,TRUE,TRUE,FALSE
1,161,mitsubishi,two,hatchback,fwd,front,93,0.755886593,0.886111111,0.849498328,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666667,7.833333333,7689,Low,FALSE,TRUE,FALSE,TRUE
3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,7.833333333,9959,Low,FALSE,TRUE,FALSE,TRUE
3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,7.34375,8499,Low,FALSE,TRUE,TRUE,FALSE
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,12.36842105,9.791666667,12629,Medium,FALSE,TRUE,FALSE,TRUE
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,9.791666667,14869,Medium,FALSE,TRUE,FALSE,TRUE
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,9.791666667,14489,Medium,FALSE,TRUE,FALSE,TRUE
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,7.34375,6989,Low,FALSE,TRUE,TRUE,FALSE
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,7.34375,8189,Low,FALSE,TRUE,TRUE,FALSE
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,7.833333333,9279,Low,FALSE,TRUE,FALSE,TRUE
-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,7.833333333,9279,Low,FALSE,TRUE,TRUE,FALSE
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,5499,Low,FALSE,TRUE,TRUE,FALSE
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.222222222,4.7,7099,Low,TRUE,FALSE,TRUE,FALSE
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,6649,Low,FALSE,TRUE,TRUE,FALSE
1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,6849,Low,FALSE,TRUE,TRUE,FALSE
1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,7349,Low,FALSE,TRUE,TRUE,FALSE
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,7299,Low,FALSE,TRUE,TRUE,FALSE
1,128,nissan,two,hatchback,fwd,front,94.5,0.795771264,0.886111111,0.891304348,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,7799,Low,FALSE,TRUE,TRUE,FALSE
1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,7499,Low,FALSE,TRUE,TRUE,FALSE
1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,7999,Low,FALSE,TRUE,TRUE,FALSE
2,168,nissan,two,hardtop,fwd,front,95.1,0.780394041,0.886111111,0.891304348,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,6.351351351,8249,Low,FALSE,TRUE,TRUE,FALSE
0,106,nissan,four,hatchback,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,6.911764706,8949,Low,FALSE,TRUE,TRUE,FALSE
0,106,nissan,four,sedan,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,6.911764706,9549,Low,FALSE,TRUE,TRUE,FALSE
0,128,nissan,four,sedan,fwd,front,100.4,0.873137914,0.923611111,0.921404682,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.82352941,10.68181818,13499,Medium,FALSE,TRUE,TRUE,FALSE
